date;Op;Hi;Lo;Vo;OT
2015-09-14 00:00:00;230608994;232440002;227960999;20997800;230643997
2015-09-15 00:00:00;230492004;259182007;229822006;19177800;230304001
2015-09-16 00:00:00;230250000;231214996;227401993;20144200;229091003
2015-09-17 00:00:00;229076004;230285004;228925995;18935400;229809998
2015-09-18 00:00:00;233520996;234352997;232184998;20242200;232975006
2015-09-19 00:00:00;232858002;233205002;231089005;12712600;231492996
2015-09-20 00:00:00;231399002;232365005;230910004;14444700;231212006
2015-09-21 00:00:00;231216995;231216995;226520996;19678800;227085007
2015-09-22 00:00:00;226968994;232386002;225117004;25009300;230617996
2015-09-23 00:00:00;230936005;231835007;229591003;17254100;230283005
2015-09-24 00:00:00;230358002;235649002;230294998;25097800;234529007
2015-09-25 00:00:00;234362000;237427002;233684006;22363600;235143997
2015-09-26 00:00:00;235076004;235403000;233358002;13724100;234339996
2015-09-27 00:00:00;234139008;234526001;232475998;14179900;232757004
2015-09-28 00:00:00;232835999;239339005;232466995;24713000;239141998
2015-09-29 00:00:00;239016006;239802002;235927994;22691300;236686996
2015-09-30 00:00:00;236639999;237733994;235628998;19743500;236059998
2015-10-01 00:00:00;236003998;238445007;235615997;20488800;237548996
2015-10-02 00:00:00;237264008;238541000;236602997;19677900;237292999
2015-10-03 00:00:00;237201996;239315002;236944000;16482700;238729996
2015-10-04 00:00:00;238531006;238968002;237940002;12999000;238259003
2015-10-05 00:00:00;238147003;240382996;237035004;23335900;240382996
2015-10-06 00:00:00;240363998;246934998;240136002;27535100;246063004
2015-10-07 00:00:00;246169998;246681000;242585007;22999200;242968994
2015-10-08 00:00:00;243074997;244251007;242179001;18515300;242304001
2015-10-09 00:00:00;242498001;244227997;242121994;17353100;243931000
2015-10-10 00:00:00;243740005;245319000;243074005;15912700;244940994
2015-10-11 00:00:00;244742004;247242996;244151993;16827300;247050003
2015-10-12 00:00:00;246875000;247453995;245179001;17388300;245307999
2015-10-13 00:00:00;245199997;250235992;243757004;28198500;249507996
2015-10-14 00:00:00;249492996;254274994;248903000;27462600;251988998
2015-10-15 00:00:00;252106995;255962006;252046005;25223500;254320007
2015-10-16 00:00:00;254296005;266135010;253925995;35901500;262868988
2015-10-17 00:00:00;262747009;273578003;262367004;43199600;270640015
2015-10-18 00:00:00;270907013;271667999;260777008;22434300;261643005
2015-10-19 00:00:00;261860992;264820007;260950989;25258800;263437012
2015-10-20 00:00:00;263571991;270834991;263226990;30889800;269463013
2015-10-21 00:00:00;269306000;270769989;263838989;25637300;266272003
2015-10-22 00:00:00;266496002;276510010;266135010;37808600;274023010
2015-10-23 00:00:00;273648987;278683990;273542999;29442500;276496002
2015-10-24 00:00:00;276503998;281705994;276503998;25942400;281653992
2015-10-25 00:00:00;281445007;294058990;281445007;45717100;283679993
2015-10-26 00:00:00;283627991;285299988;280510010;32108800;285299988
2015-10-27 00:00:00;285181000;296212006;285007996;46331800;293787994
2015-10-28 00:00:00;293703003;306330994;293703003;50808100;304618011
2015-10-29 00:00:00;304324005;318170013;301822998;64495900;313855011
2015-10-30 00:00:00;313942993;334169006;313940002;78305000;328015015
2015-10-31 00:00:00;328511993;332777008;309251007;48598100;314165985
2015-11-01 00:00:00;315005005;327471985;311881012;37001100;325431000
2015-11-02 00:00:00;325941986;365359985;323209015;101918000;361188995
2015-11-03 00:00:00;361872986;417899994;357647003;206162000;403416992
2015-11-04 00:00:00;403664001;495562012;380548004;263900000;411562988
2015-11-05 00:00:00;408076996;447561005;374580994;151824992;386354004
2015-11-06 00:00:00;388046997;395835999;354024994;122687000;374470001
2015-11-07 00:00:00;374269012;390585999;372433014;56625100;386481995
2015-11-08 00:00:00;384278015;389894989;368700012;51817600;373368011
2015-11-09 00:00:00;374324005;385278015;362894989;68224400;380256989
